2,S0,S0,FALSE,TRUE,FALSE,FALSE,FALSE,Welcome
3,S0,S0,FALSE,FALSE,TRUE,FALSE,FALSE,Welcome
4,S0,S1,TRUE,FALSE,FALSE,FALSE,FALSE,25 cents credit
5,S1,S0,FALSE,FALSE,TRUE,FALSE,TRUE,Welcome
6,S1,S1,FALSE,TRUE,FALSE,FALSE,FALSE,25 cents credit
7,S1,S2,TRUE,FALSE,FALSE,FALSE,FALSE,50 cents credit
8,S2,S1,FALSE,FALSE,TRUE,FALSE,TRUE,25 cents credit
9,S2,S2,FALSE,TRUE,FALSE,FALSE,FALSE,50 cents credit
10,S2,S3,TRUE,FALSE,FALSE,FALSE,FALSE,75 cents credit
11,S3,S2,FALSE,FALSE,TRUE,FALSE,TRUE,50 cents credit
12,S3,S3,TRUE,FALSE,FALSE,FALSE,FALSE,75 cents credit
13,S3,S0,FALSE,TRUE,FALSE,TRUE,FALSE,Welcome
